Abbreviated source title,Abstract,Abstract type,Access type,Accession number,Article number,Author,Author affiliation,CODEN,Classification code,Conference code,Conference date,Conference location,Conference name,Controlled/Subject terms,Copyright,Corresponding author,DOI,Data Provider,Database,Document type,E-ISSN,Funding details,Funding text,ISBN13,ISSN,Issue,Issue date,Language,Main heading,Monograph title,Number of references,Pages,Part number,Publication year,Publisher,Source,Sponsor,Title,Title of translation,Uncontrolled terms,Volume,Volume title
Org. Biomol. Chem.,"A series of novel 2-substituted indoline imidazolium salt derivatives has been prepared and evaluated in vitro against a panel of human tumor cell lines. The results suggest that the existence of a substituted benzimidazole ring and substitution of the imidazolyl-3-position with a naphthylacyl or 2-naphthylmethyl group were vital for modulating the cytotoxic activity. Compound 25 was found to be the most potent derivative with IC50values of 0.24-1.18 μM, and exhibited cytotoxic activity selectively against MCF-7, SW480, SMMC-7721 and HL-60 cell lines, while compound 26 showed powerful inhibitory activities selectively against SMMC-7721 and A549 cell lines. Compound 25 can induce G2/M phase cell cycle arrest and apoptosis in SMMC-7721 cells. © The Royal Society of Chemistry 2015.",,,20150500466220,,"Xu, Xiao-Liang (1); Yu, Chun-Lei (2); Chen, Wen (1); Li, Ying-Chao (1); Yang, Li-Juan (3); Li, Yan (2); Zhang, Hong-Bin (1); Yang, Xiao-Dong (1) ","(1) Key Laboratory of Medicinal Chemistry for Natural Resource, School of Chemical Science and Technology, Yunnan University, Kunming; 650091, China (2) State Key Laboratory for Phytochemistry and Plant Resources in West China, Kunming Institute of Botany, Chinese Academy of Science, Kunming; 650204, China (3) Key Laboratory of Ethnic Medicine Resource Chemistry, State Ethnic Affairs Commission and Ministry of Education, Yunnan Minzu University, Kunming; 650500, China ",OBCRAK,461.9 Biology,,,,,Cell culture - Cell death,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Li, Yan ",10.1039/c4ob02385d,Engineering Village,Compendex,Journal article (JA),,,,,14770520,5,"February 7, 2015",English,Cytotoxicity,,29.0,1550-1557,,2015,Royal Society of Chemistry,Organic and Biomolecular Chemistry,,Synthesis and antitumor activity of novel 2-substituted indoline imidazolium salt derivatives,,A549 cell lines - Anti-tumor activities - Cell-cycle arrest - Cytotoxic activities - HL-60 cell line - Human tumor cell lines - Imidazolium salt - Inhibitory activity,13,
IEEE Trans Appl Supercond,"In order to compensate flexibly reactive power, it is necessary to develop a controllable reactor in long-distance and ultrahigh-voltage system. High-temperature superconductivity-controllable reactor (HTS-CR) is a potential equipment in power system. A 35-kV/3.5-MVA single-phase HTS-CR is being developed. The HTS windings of the HTS-CR are made of double pancakes that are wound with HTS tapes connected in parallel. The relationship between the number of double pancakes and the number of HTS tapes, which has great effect on the current of each HTS tape, is studied. Furthermore, the solution that reduces the ac loss of the HTS winding is also investigated, which discloses the optimized design parameters and the calculation results of the HTS windings. The study here is believed to provide some references for developing HTS-CR with larger capacity in the future. © 2002-2011 IEEE.",,,20151000613174,7006695,"Shen, S. (1); Tang, Y. (1); Wang, Z. (1); Ren, L. (1); Song, M. (2); Zhao, X. (1); Deng, X. (1); Li, J. (1); Shi, J. (1) ","(1) State Key Laboratory of Advanced Electromagnetic Engineering and Technology, Huazhong University of Science and Technology, Wuhan; 430074, China (2) Yunnan Electric Power Research Institute, Kunming; 650051, China ",ITASE9,691.2 Materials Handling Methods - 701.1 Electricity: Basic Concepts and Phenomena,,,,,Condensed matter physics - Superconductivity,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.",,10.1109/TASC.2015.2391122,Engineering Village,Compendex,Journal article (JA),,,,,10518223,3,"June 1, 2015",English,Winding,,6.0,,,2015,Institute of Electrical and Electronics Engineers Inc.,IEEE Transactions on Applied Superconductivity,,Design of superconductivity windings of a 35-kV/3.5-MVA single-phase HTS-controllable reactor,,AC loss - Calculation results - Controllable reactor - Current balance - High-temperature superconductivity - Optimized designs - Parallel-connected - Ultra high voltage,25,
RSC Adv.,"An activated carbon-based multicarboxyl adsorbent has been synthesized for selective removal of cationic dyes from aqueous solutions. The adsorbent was characterized by Fourier transform infrared spectroscopy (FT-IR), X-ray photoelectron spectroscopy (XPS), N2adsorption measurement and zeta potential. The adsorption behavior of cationic rhodamine 6G on the activated carbon-based multicarboxyl adsorbent from an aqueous medium was studied by varying the parameters such as pH, contact time and initial dye concentration. Dye adsorption was dramatically dependent on solution pH and the optimum pH is 4.45. After being modified by multicarboxyls, the adsorption capacity of rhodamine 6G on the activated carbon dramatically increased from 33.18 mg L-1to 122.55 mg L-1at pH 4.45. The multicarboxyl adsorbent has obvious selectivity to cationic dyes. Adsorption isotherms could be well described by the Langmuir model, adsorption kinetics fitted well with a pseudo-second-order kinetic equation and exhibited a 3-stage intraparticle diffusion mode. The electrostatic interaction was the main mechanism for the cationic dye adsorption. © 2015 The Royal Society of Chemistry.",,,20154901635837,,"Zhang, Libo (1, 2, 3, 4); Liu, Yuhang (1, 2, 3, 4); Wang, Shixing (1, 2, 3, 4); Liu, Bingguo (1, 2, 3, 4); Peng, Jinhui (1, 2, 3, 4) ","(1) State Key Laboratory of Complex Nonferrous Metal Resources Clean Utilization, Kunming University of Science and Technology, Kunming; 650093, China (2) Natl. Local Joint Laboratory of Engineering Application of Microwave Energy and Equipment Technology, Kunming Yunnan; 650093, China (3) Key Laboratory of Unconventional Metallurgy, Ministry of Education, Kunming University of Science and Technology, Kunming, Yunnan; 650093, China (4) Faculty of Metallurgical and Energy Engineering, Kunming University of Science and Technology, Kunming; 650093, China ",RSCACL,801 Chemistry - 802.3 Chemical Operations - 803 Chemical Agents and Basic Industrial Chemicals - 804 Chemical Products Generally - 921.2 Calculus,,,,,Activated carbon - Dyes - Fourier transform infrared spectroscopy - Integral equations - Solutions - Stripping (dyes) - X ray photoelectron spectroscopy,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Wang, Shixing(wsxkm@sina.com) ",10.1039/c5ra18093g,Engineering Village,Compendex,Journal article (JA),20462069,,,,,121,2015,English,Adsorption,,45.0,99618-99626,,2015,Royal Society of Chemistry,RSC Advances,,Selective removal of cationic dyes from aqueous solutions by an activated carbon-based multicarboxyl adsorbent,,Adsorption behavior - Adsorption capacities - Adsorption kinetics - Fourier transform infra red (FTIR) spectroscopy - Initial dye concentration - Intra-particle diffusion - Pseudo second order kinetics - Selective removal,5,
Energy Convers. Manage.,"Abstract This paper mainly focuses on the modeling and simulation of the doubly fed induction generator (DFIG) based wind turbine generation system. In this paper, a new method which combines the mechanical part and electrical part is presented to model the wind turbine generation system. The turbine rotor blade is modeled by the lifting line model and the aerodynamic forces are solved by the improved free vortex wakes method with the supplementary of two dimensional aerodynamic data (three dimensional corrected). The control system of pitching and generator with voltage oriented control (VOC) are established in Matlab/Simulink. The drive train is also modeled with two mass model. In order to realize the coupling computation of the wind turbine model, a data link is built to transfer the parameters between aerodynamic part and electrical part. In this way, the interaction between turbine rotor and generator could be predicted. The validations are firstly made to ensure the reliability of the model. Then the performance of a 1.5 MW wind turbine is investigated with this integrated model under different wind and symmetrical grid voltage dip condition. © 2015 Elsevier Ltd.",,,20153001048725,7337,"Liang, Junyu (1); Qiu, Yongxing (2); Zhao, Ming (1); Kang, Shun (2); Lu, Hai (1) ","(1) Yunnan Electric Power Test and Research Institute, China (2) North China Electric Power University, China ",ECMADL,"615.8 Wind Power (Before 1993, use code 611 ) - 617 Turbines and Steam Turbines - 631.1 Fluid Flow, General - 651.1 Aerodynamics, General - 701.1 Electricity: Basic Concepts and Phenomena - 705.2 Electric Generators - 705.2.1 AC Generators - 722.1 Data Storage, Equipment and Techniques - 731.2 Control System Applications - 921 Mathematics - 921.6 Numerical Methods",,,,,Aerodynamics - Digital storage - Electric fault currents - Electric machine control - MATLAB - Numerical methods - Turbine components - Turbogenerators - Turbomachine blades - Vortex flow - Wakes - Wind turbines,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Liang, Junyu(ljy_1029@163.com) ",10.1016/j.enconman.2015.07.006,Engineering Village,Compendex,Journal article (JA),,,,,01968904,,"July 21, 2015",English,Asynchronous generators,,24.0,762-777,,2015,Elsevier Ltd,Energy Conversion and Management,,The modeling and numerical simulations of wind turbine generation system with free vortex method and simulink,,DFIG - Doubly Fed Induction generators (DFIG) - Free-vortex wake - Simulink - Voltage dip - Voltage oriented control - Wind turbine modeling - Wind-turbine generation,103,
Comm. Nonlinear Sci. Numer. Simul.,"In this paper, the three-dimensional Kudryashov-Sinelshchikov (KS) equation, which describes the propagation of nonlinear waves in a bubbly liquid. By using the Lie symmetry analysis, all of the geometric vector fields of the equation are obtained, the symmetry reductions and some new exact explicit solutions are also presented. © 2015 Elsevier B.V.",,,20151800813871,,"Yang, Huizhang (1); Liu, Wei (1); Yang, Biyu (1); He, Bin (1) ","(1) College of Mathematics, Honghe University, Mengzi, Yunnan; 661199, China ",,921.1 Algebra - 921.2 Calculus,,,,,Algebra - Riccati equations,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","He, Bin(hebinhhu@126.com) ",10.1016/j.cnsns.2015.03.014,Engineering Village,Compendex,Journal article (JA),,,,,10075704,1-3,"October 1, 2015",English,Nonlinear equations,,18.0,271-280,,2015,Elsevier B.V.,Communications in Nonlinear Science and Numerical Simulation,,Lie symmetry analysis and exact explicit solutions of three-dimensional Kudryashov-Sinelshchikov equation,,Bubbly liquids - Explicit solutions - Lie symmetry analysis - Nonlinear waves - Symmetry reduction - Vector fields,27,
J. Agric. Food Chem.,"Sinonovacula constricta has been widely used as a health food and medicine in China, Japan, and Korea. In the present study, a water-soluble polysaccharide fraction (SCP-1) was prepared from S. constricta by enzyme-assisted extraction and purification of chromatography with DEAE-52 cellulose anion-exchange column and Sephadex G-100 size exclusion column. On the basis of the analytical results of high-performance liquid chromatography, Fourier transform-infrared spectroscopy, methylation analysis, and NMR spectroscopy, SCP-1 was found to have an average molecular weight of 15.63 kDa and a linear backbone of (1→4)-linked α-d-Glcp residue with one branch, α-d-Glcp, attached to the main chain by a (1→6) glycosidic bond at every five α-d-Glcp units. Furthermore, it was found that SCP-1 could significantly increase the viability of macrophages, enhance the capability of macrophage phagocytosis, increase the activity of acid phosphatase, and promote the production of nitric oxide, mouse tumor necrosis factor (TNF)-α, mouse interferon (IFN)-γ, and mouse interleukin (IL)-1β. The results suggest that SCP-1 possesses potent immunomodulating effect and may be explored as a potential biological response modifier. © 2015 American Chemical Society.",,,20153801295712,,"Yuan, Qingxia (1); Zhao, Longyan (2); Cha, Qianqian (1); Sun, Yi (1); Ye, Hong (1); Zeng, Xiaoxiong (1) ","(1) College of Food Science and Technology, Nanjing Agricultural University, Nanjing; 210095, China (2) State Key Laboratory of Phytochemistry and Plant Resources in West China, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming; Yunnan; 650201, China ",JAFCAU,461.9 Biology - 461.9.1 Immunology - 801 Chemistry - 802.2 Chemical Reactions - 804 Chemical Products Generally - 921.3 Mathematical Transformations - 951 Materials Science,,,,,Alkylation - Antigen-antibody reactions - Column chromatography - Fourier transform infrared spectroscopy - Glycoproteins - High performance liquid chromatography - Ion exchange - Macrophages - Mammals - Mathematical transformations - Nitric oxide - Nuclear magnetic resonance spectroscopy - Phosphatases - Polysaccharides - Structure (composition),"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zeng, Xiaoxiong(zengxx@njau.edu.cn) ",10.1021/acs.jafc.5b03306,Engineering Village,Compendex,Journal article (JA),15205118,,,,00218561,36,"August 28, 2015",English,Size exclusion chromatography,,73.0,7986-7994,,2015,American Chemical Society,Journal of Agricultural and Food Chemistry,,Structural Characterization and Immunostimulatory Activity of a Homogeneous Polysaccharide from Sinonovacula constricta,,Biological response modifiers - Enzyme-assisted extractions - Homogeneous polysaccharides - Immunomodulatory activities - Immunostimulatory activities - Sinonovacula constricta - Structural characterization - Water-soluble polysaccharides,63,
Anal. Methods,"Blood serum and plasma are the most frequently used biofluids in metabolomics. The primary aim of this study was to ascertain the feasibility of the commonly used gas chromatography-mass spectrometry (GC-MS)-based methoximation followed by silylation with the BSTFA + 1% TMCS (MeOx-TMS) derivatization method, and to reveal the metabolic differences between serum and plasma. Individual variations were evaluated by different groups of serum and plasma samples collected from healthy volunteers in 2011 and 2013. The experimental results indicated that differences of metabolic levels among individuals were much higher than the variations of the experimental repeatability and precision. In addition, a discriminant model between serum and plasma was established using partial least squares-discriminant analysis (PLS-DA). Six characteristic metabolites, phosphate, serine, 2,3,4-trihydroxybutyrate, citric acid, glucose and arachidonic acid, were screened out and considered to have the most important contribution to the discrimination. Results of this work will provide some valuable suggestions to researchers on the selection of suitable biofluids in metabolomic research. This journal is © The Royal Society of Chemistry.",,,20151000607983,,"Shi, Shuting (2); Yi, Lunzhao (1); Yun, Yonghuan (2); Zhang, Xiaojuan (2); Liang, Yizeng (2) ","(1) Yunnan Food Safety Research Institute, Kunming University of Science and Technology, Kunming Yunnan; 650500, China (2) College of Chemistry and Chemical Engineering, Central South University, Changsha Hunan; 410083, China ",,461.2 Biological Materials and Tissue Engineering - 801 Chemistry - 802.3 Chemical Operations - 804.1 Organic Compounds - 921.6 Numerical Methods - 922 Statistical Methods,,,,,Amino acids - Discriminant analysis - Gas chromatography - Least squares approximations - Mass spectrometry - Metabolism,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yi, Lunzhao(ylz7910@hotmail.com) ",10.1039/c4ay02477j,Engineering Village,Compendex,Journal article (JA),17599679,,,,17599660,5,"March 7, 2015",English,Body fluids,,45.0,1751-1757,,2015,Royal Society of Chemistry,Analytical Methods,,A combination of GC-MS and chemometrics reveals metabolic differences between serum and plasma,,Arachidonic acids - Derivatization method - Discriminant models - Experimental repeatabilities - Gas chromatography-mass spectrometries (GC-MS) - Healthy volunteers - Partial least squares discriminant analyses (PLSDA) - Plasma samples,7,
Bio-Med. Mater. Eng.,"OBJECTIVE: The stem cell based therapy is a potential alternative to liver transplantation. The aim of the study is to investigate the hepatocytic differentiation ability of human umbilical cord derived mesenchymal stem cells (HUC-MSCs) in vitro.METHODS: The HUC-MSCs were isolated from Wharton's jelly of human umbilical cord. The cells were identified by assessing the stem cell markers. The HUC-MSCs were characterized by multipotency of differentiation. We modified the hepatogenic differentiation protocol and examine the function of differentiated cell by Periodic acid-Schiff (PAS) staining and Low-Density Lipoprotein (LDL) uptake. The protein expressions of Total protein (TP), Albumin (ALB), Globulin (GLB), Urea (BUN) and α-fetoprotein (AFP) were also detected.RESULTS: The cells of the hepatogenic differentiation group showed the function of hepatocyte. Protein expressions of TP, ALB, GLB BUN and AFP improve that the HUC-MSCs are able to different into the functional hepatogenic-like cell.CONCLUSION: The above founding indicated that the HUC-MSCs are able to different into the functional hepatogenic-like cell by present method. © 2015 - IOS Press and the authors.",,,20150100389742,,"Zheng, Guan (1); Liu, Yang (1); Jing, Qian (1); Zhang, Lei (1) ","(1) Biomedical Research Center, First People's Hospital of Kunming, Affiliated Calmette Hospital of Kunming Medical University, Yunnan, China ",BMENEO,461.2 Biological Materials and Tissue Engineering - 723.1 Computer Programming - 804.1 Organic Compounds,,,,,Flowcharting - Proteins - Stem cells - Urea,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Zhang, Lei ",10.3233/BME-141249,Engineering Village,Compendex,Conference article (CA),18783619,,,,09592989,,2015,English,Cell culture,,20.0,S145-S157,,2015,"IOS Press, Nieuwe Hemweg 6B, Amsterdam, 1013 BG, Netherlands",Bio-Medical Materials and Engineering,,Differentiation of human umbilical cord-derived mesenchymal stem cells into hepatocytes in vitro,,Alphafetoprotein (AFP) - Differentiated cells - Hepatocytes - Human umbilical cord - Liver transplantation - Low density lipoproteins - Mesenchymal stem cell - Protein expressions,25,
Angew. Chem. Int. Ed.,"Perforalactone A (1), a new 20S quassinoid with a unique cagelike 2,4-dioxaadamantane ring system and a migrated side chain, was isolated from the plant Harrisonia perforata together with two biosynthetically related new quassinoids. The structures of these natural products were elucidated by NMR spectroscopy, X-ray diffraction analysis, computational modeling, and the CD excitation chirality method. The compounds exhibited notable biological properties, including insecticidal activity against Aphis medicaginis Koch and antagonist activity at the nicotinic acetylcholine receptor of Drosophila melanogaster. The structural features of these compounds may be related to their promising biological characteristics. Their biosynthesis and an alternative origin of quassinoid-type natural products are also discussed. An active family: A quassinoid with a unique cagelike 2,4-dioxaadamantane ring system (see structure) was isolated along with biosynthetically related quassinoids from the twigs and stem of Harrisonia perforata. The compounds demonstrated insecticidal activity, antagonist activity at the nicotinic acetylcholine receptor of insects, and potent cytotoxicity. Their discovery provides an alternative origin of the quassinoid family of compounds. © 2015 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.",,,20151900826514,,"Fang, Xin (1); Di, Ying Tong (1); Zhang, Yu (1); Xu, Zhi Ping (3); Lu, Yang (2); Chen, Qian Qian (2); Zheng, Qi Tai (2); Hao, Xiao Jiang (1) ","(1) State Key Laboratory of Phytochemistry and Plant Resources in West China, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming, Yunnan; 650201, China (2) Institute of Materia Medica, Chinese Academy of Medical Sciences, Beijing; 100050, China (3) Shanghai Key Laboratory of Chemical Biology, School of Pharmacy, East China University of Science and Technology, Shanghai; 200237, China ",ACIEF5,461.6 Medicine and Pharmacology - 461.8 Biotechnology - 821.4 Agricultural Products,,,,,Bioactivity - Biosynthesis - Nuclear magnetic resonance spectroscopy - X ray diffraction analysis,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Hao, Xiao Jiang(haoxj@mail.kib.ac.cn) ",10.1002/anie.201412126,Engineering Village,Compendex,Journal article (JA),15213773,,,,14337851,19,"May 4, 2015",English,Tobacco,,41.0,5592-5595,,2015,Wiley-VCH Verlag,Angewandte Chemie - International Edition,,Unprecedented quassinoids with promising biological activity from harrisonia perforata,,Biosynthetic pathway - Insecticidal activity - Natural products - Nicotinic acetylcholine receptors - Structure elucidation,54,
Nanomater. Energy,"CdS/Si nanowire heterostructure arrays were prepared by SILAR technique based on etched Si nanowire templates using p-type (100) silicon wafer. Synthesized CdS/Si nanowire heterostructures were characterized by scanning electron microscopy (SEM), X-ray diffraction (XRD), and their optical property was measured by UV-VIS-NIR spectrophotometer. The results of Reflectance spectra show absorption edge at 460, 470, and 480 nm for 20, 30 and 40 cycles, respectively. XRD analysis indicates the formation of CdS with hexagonal (wurtzite) structure. Also, the presence of CdS was confirmed by both SEM and EDX. The effect of cycle times on the photoluminescence (PL) intensity has also been studied. The absorption and emission edges lightly shift toward long wavelength with increasing the cycles of adsorption of CdS. © 2015, Thomas Telford Services Ltd.",,,20153401201421,,"Yang, Haigang (1, 3); Cao, Weiwei (1); Jiang, Yurong (1); Hao, Ruiting (2); Song, Guilin (1); Chang, Fanggao (1) ","(1) College of Physics and Electronic Engineering, Henan Key Laboratory of Photovoltaic Materials, Henan Normal University, Xinxiang, China (2) Institute of Solar Energy, Yunnan Normal University, Kunming, China (3) Renewable Energy School, North China Electric Power University, Beijing, China ",,714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 761 Nanotechnology - 804 Chemical Products Generally - 804.2 Inorganic Compounds - 933 Solid State Physics,,,,,Energy gap - Heterojunctions - II-VI semiconductors - Nanowires - Optical properties - Photoluminescence - Scanning electron microscopy - Silicon wafers - Sulfur compounds - X ray diffraction - Zinc sulfide,"Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Yang, Haigang ",10.1680/nme.14.00029,Engineering Village,Compendex,Journal article (JA),2045984X,,,,20459831,July���December,"July 1, 2015",English,Cadmium sulfide,,28.0,1-17,,2015,Thomas Telford Services Ltd,Nanomaterials and Energy,,Optical performance of cadmium sulfide/silicon nanowire heterostructure arrays prepared by silar technique,,Absorption and emissions - Absorption edges - Nanowire heterostructures - Optical performance - Photoluminescence intensities - Reflectance spectrum - SILAR - UV-VIS-NIR spectrophotometers,4,
